scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,state_dwellings,regional_modelled_stock_dwellings,pv_basis_year,dwelling_group,pv_variant_id,pv_installed,house_participation_rate,apartment_participation_rate,variant_share,variant_dwellings,assigned_capacity_kwp_per_participating_dwelling,allocated_capacity_mw,regional_basis_capacity_mw,raw_linear_capacity_mw_2050,rooftop_potential_mw,eligible_stock_capacity_mw,capacity_cap_reason,source_id,assumption_id
central,2050,Flemish Region,BE_TABULA_04,"Apartment, enclosed",pre-1946,TABULA_advanced_A_proxy,7021.97541793,3244134,2050,apartment,no_pv,false,0.905414195978,0.226353548995,0.773646451005,5432.526361128811,0,0,9148.001371988044,9148.001371988044,56967.685,10103.664612971113,linear_trajectory,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_04,"Apartment, enclosed",pre-1946,TABULA_advanced_A_proxy,7021.97541793,3244134,2050,apartment,pv_installed,true,0.905414195978,0.226353548995,0.226353548995,1589.44905680119,0.672576574704,1.06902620229,9148.001371988044,9148.001371988044,56967.685,10103.664612971113,linear_trajectory,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,TABULA_existing,0,3244134,2024,apartment,no_pv,false,0.447065771645,0,1,0,0,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,TABULA_existing,0,3244134,2024,apartment,pv_installed,true,0.447065771645,0,0,0,0,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,TABULA_standard_B_proxy,61916.3984702,3244134,2024,apartment,no_pv,false,0.447065771645,0,1,61916.3984702,0,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,TABULA_standard_B_proxy,61916.3984702,3244134,2024,apartment,pv_installed,true,0.447065771645,0,0,0,0,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,TABULA_advanced_A_proxy,16105.550617930001,3244134,2050,apartment,no_pv,false,0.905414195978,0.226353548995,0.773646451005,12460.002077049616,0,0,9148.001371988044,9148.001371988044,56967.685,10103.664612971113,linear_trajectory,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_05,"Apartment, exposed",pre-1946,TABULA_advanced_A_proxy,16105.550617930001,3244134,2050,apartment,pv_installed,true,0.905414195978,0.226353548995,0.226353548995,3645.548540880387,0.672576574704,2.451910550544,9148.001371988044,9148.001371988044,56967.685,10103.664612971113,linear_trajectory,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_06,Detached house,1946-1970,TABULA_existing,0,3244134,2024,house,no_pv,false,0.447065771645,0,0.552934228355,0,0,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_06,Detached house,1946-1970,TABULA_existing,0,3244134,2024,house,pv_installed,true,0.447065771645,0,0.447065771645,0,4.428495056336,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
